author,download_url,volume,dl_label,dl_pwd,dl_update,novel_link,update,main,alt
水镜月圣,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/我们的『阅读理解』出错了 - 水镜月圣 - 20241114.epub,3,b00g314v4b,9fed,2025-07-05,https://www.wenku8.net/book/3587.htm,2025-07-05,我们在「解读」上犯了错误,我们的『阅读理解』出错了
,,1,b00g3fx6hc,dm5m,2025-07-04,https://www.wenku8.net/book/3978.htm,2025-07-04,我的青梅竹马似乎是第一女主角,
听猫芝居,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/线上游戏的老婆不可能是女生？ - 听猫芝居 - 20240719.epub,21,b00g2gip4d,bf78,2025-07-03,https://www.wenku8.net/book/1672.htm,2025-07-03,线上游戏的老婆不可能是女生？,
,,1,b00g3fu2sb,dx9d,2025-07-03,https://www.wenku8.net/book/3976.htm,2025-07-03,武神传 被献祭后，受神明眷顾的我登上武艺巅峰,
,,1,b00g3fu3ji,4lsc,2025-07-03,https://www.wenku8.net/book/3977.htm,2025-07-03,爱依赖的她，成天泡在我房里,
庆野由志,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/原本阴沉的我要向青春复仇 和那个天使般的女孩一起Re life(曾是阴角的我再战青春) - 庆野由志 - 20241220.epub,6,b04ef6jze,b6vf,2025-07-03,https://www.wenku8.net/book/3387.htm,2025-07-03,原本阴沉的我要向青春复仇 和那个天使般的女孩一起Re life,曾是阴角的我再战青春
三嶋与梦,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/女性向游戏世界对路人角色很不友好(乙女游戏世界对路人角色很不友好) - 三嶋与梦 - 20240512.epub,13,b04e8a0wj,2eo5,2025-07-03,https://www.wenku8.net/book/2638.htm,2025-07-03,女性向游戏世界对路人角色很不友好,乙女游戏世界对路人角色很不友好
七菜なな,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/男女之间存在纯友情吗？（不，不存在！） - 七菜なな - 20240412.epub,11,b04e7c6uj,c94y,2025-07-03,https://www.wenku8.net/book/3103.htm,2025-07-03,男女之间存在纯友情吗？（不，不存在！）,
橘公司,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/王者的求婚(国王的求婚) - 橘公司 - 20231201.epub,7,b04e73m3e,g2ie,2025-07-02,https://www.wenku8.net/book/3067.htm,2025-07-02,王者的求婚,国王的求婚
猪口,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/田中家全员转生 - 猪口 - 20240818.epub,5,b04ew6x9e,9eqd,2025-07-02,https://www.wenku8.net/book/3271.htm,2025-07-02,田中家全员转生,
みょん,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/匿名拯救了厌男美女姊妹后会发生什么事？ - みょん - 20241102.epub,4,b00g297pri,77uz,2025-07-02,https://www.wenku8.net/book/3645.htm,2025-07-02,匿名拯救了厌男美女姊妹后会发生什么事？,
森见登美彦,https://raw.githubusercontent.com/ixinzhi/lightnovel-2009to2013/master/四叠半神话大系 - 森见登美彦 - 20100803.epub,1,b00g3frf8b,e3nh,2025-07-02,https://www.wenku8.net/book/889.htm,2025-07-02,四叠半宿舍，青春迷走,四叠半神话大系
,,2,b00g3aqzxa,6lo5,2025-07-02,https://www.wenku8.net/book/3943.htm,2025-07-02,极致软弱千金小姐，不小心答应了精明未婚夫的赌局,
,,7,b00g2wdvxe,gdvn,2025-07-02,https://www.wenku8.net/book/3844.htm,2025-07-02,瞬间治愈却被当成废物踢出队伍的天才治疗师，改当无照治疗师快乐过活,
,,1,b00g3frfud,2umg,2025-07-02,https://www.wenku8.net/book/3975.htm,2025-07-02,四叠半宿舍，时光机蓝调,四叠半时光机布鲁斯
绿青·薄浅黄,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/刹那的风景 - 绿青·薄浅黄 - 20231021.epub,3,b04es3f7c,8ktr,2025-07-02,https://www.wenku8.net/book/3443.htm,2025-07-02,刹那的风景,
,,1,b00g3fcbod,d37p,2025-07-01,https://www.wenku8.net/book/3972.htm,2025-07-01,迫于形势，和拒绝无数告白的校园女神交往了,
,,1,b00g3fkedi,3ygx,2025-06-30,https://www.wenku8.net/book/3974.htm,2025-06-30,战地归来的高志同学只想过平凡高中生活,
カルロ·ゼン,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/幼女战记(谭雅战记) - カルロ·ゼン - 20241125.epub,14,b00g2rysze,g4md,2025-06-30,https://www.wenku8.net/book/1792.htm,2025-06-30,幼女战记,谭雅战记
杉井光,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/乐园NOISE(乐园杂音 Paradise NoiSe) - 杉井光 - 20230723.epub,6,b04e9r3mf,bjd9,2025-06-30,https://www.wenku8.net/book/2785.htm,2025-06-30,乐园NOISE,乐园杂音 Paradise NoiSe
雨森たきび,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/败北女角太多了！(败犬女主太多了！) - 雨森たきび - 20240914.epub,8,b04e8ojkf,eftx,2025-06-30,https://www.wenku8.net/book/3057.htm,2025-06-30,败北女角太多了！,败犬女主太多了！
猫又ぬこ,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/青梅竹马就是失败flag，是真的吗？ - 猫又ぬこ - 20220615.epub,2,b00g3fh12b,g2rs,2025-06-29,https://www.wenku8.net/book/2996.htm,2025-06-29,青梅竹马就是失败flag，是真的吗？,
持崎汤叶,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/因为抓住了爸爸活女高中生的弱点，所以拜托她带狗狗散步 - 持崎汤叶 - 20220128.epub,2,b00g3fh22h,6kuw,2025-06-29,https://www.wenku8.net/book/2960.htm,2025-06-29,因为抓住了爸爸活女高中生的弱点，所以拜托她带狗狗散步,
望公太,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/与前女友令人焦灼不已的伪装结婚 - 望公太 - 20210817.epub,2,b00g3fh1ti,1ds7,2025-06-29,https://www.wenku8.net/book/2943.htm,2025-06-29,与前女友令人焦灼不已的伪装结婚,
岩田洋季,https://raw.githubusercontent.com/ixinzhi/lightnovel-2021/master/晚上九点，阳台对面的女神学姐只属于我 - 岩田洋季 - 20210711.epub,2,b00g3fh27c,8rf2,2025-06-29,https://www.wenku8.net/book/2850.htm,2025-06-29,晚上九点，阳台对面的女神学姐只属于我,
,,1,b00g3fh0yh,alt1,2025-06-29,https://www.wenku8.net/book/3973.htm,2025-06-29,心跳！光之美少女,
ファースト,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/神眼的勇者 - ファースト - 20221107.epub,1,b00g3fh1gf,eu55,2025-06-29,https://www.wenku8.net/book/3338.htm,2025-06-29,神眼的勇者,
秋,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/魔王学院的不适任者 - 秋 - 20240927.epub,14 下,b04euae2f,giue,2025-06-28,https://www.wenku8.net/book/2586.htm,2025-06-28,魔王学院的不适任者,
绫里惠史,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/CARNEADES - 绫里惠史 - 20231102.epub,3,b04etfnhi,2o2e,2025-06-26,https://www.wenku8.net/book/3542.htm,2025-06-26,CARNEADES,
,,1,b00g3f5eid,evfw,2025-06-25,https://www.wenku8.net/book/3971.htm,2025-06-25,我是寻找夏目的猫,
,,1,b00g3f2sta,64b4,2025-06-24,https://www.wenku8.net/book/3970.htm,2025-06-24,公务员，中田忍的恶德,
饼月望,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/堤亚穆帝国物语 从断头台开始，公主重生后的逆转人生 - 饼月望 - 20241109.epub,14,b04eih5pe,bv1e,2025-06-24,https://www.wenku8.net/book/2844.htm,2025-06-24,堤亚穆帝国物语 从断头台开始，公主重生后的逆转人生,
,,1,b00g3ewrfe,bx3g,2025-06-22,https://www.wenku8.net/book/3969.htm,2025-06-22,最强落第贵族的剑魔双极暗斗谭,
南房秀久,https://raw.githubusercontent.com/ixinzhi/lightnovel-2014to2017/master/高贵魔女 - 南房秀久 - 20171203.epub,8,b00g3ewqve,4twy,2025-06-22,https://www.wenku8.net/book/2258.htm,2025-06-22,高贵魔女 第506统合战斗飞行团,
Roy,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/众神眷顾的男人(被神捡到的男人) - Roy - 20240706.epub,9,b04ev7cmb,aiyq,2025-06-22,https://www.wenku8.net/book/2781.htm,2025-06-22,众神眷顾的男人,被神捡到的男人
笕千里,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/世界唯一的魔物使~转职后被误认成魔王~ - 笕千里 - 20220222.epub,3,b00g3etpuj,263g,2025-06-21,https://www.wenku8.net/book/3100.htm,2025-06-21,世界唯一的魔物使~转职后被误认成魔王~,
白米良,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/平凡职业造就世界最强 - 白米良 - 20230301.epub,14,b00g3etpla,ar0y,2025-06-21,https://www.wenku8.net/book/2080.htm,2025-06-21,平凡职业造就世界最强,
,,1,b00g3etq3i,1m3c,2025-06-21,https://www.wenku8.net/book/3968.htm,2025-06-21,假面骑士J,
东崎惟子,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/少女星间漂流记 - 东崎惟子 - 20241124.epub,3,b00g2keckb,776o,2025-06-20,https://www.wenku8.net/book/3735.htm,2025-06-20,少女星间漂流记,
,,4,b00g36qojg,bcqn,2025-06-20,https://www.wenku8.net/book/3885.htm,2025-06-20,寂静魔女 索姆斯没人要中队Reboot,
海道左近,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/Infinite Dendrogram 无尽连锁 - 海道左近 - 20240412.epub,22,b00g25imrc,h96w,2025-06-20,https://www.wenku8.net/book/2248.htm,2025-06-20,Infinite Dendrogram 无尽连锁,
,,1,b00g3enzcf,8xcr,2025-06-19,https://www.wenku8.net/book/3965.htm,2025-06-19,重回青春时代，与孤独的她共度盛夏时光,
五示正司,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/孤单一人的异世界攻略 - 五示正司 - 20240117.epub,14,b04enepvc,gwav,2025-06-18,https://www.wenku8.net/book/2731.htm,2025-06-18,孤单一人的异世界攻略,
编乃肌,https://raw.githubusercontent.com/ixinzhi/lightnovel-2023/master/世界第一『可爱』的是雨宫同学，第二是我。 - 编乃肌 - 20231107.epub,3,b00g3eleoj,3b8j,2025-06-18,https://www.wenku8.net/book/3528.htm,2025-06-18,世界第一「可爱」的雨宫同学与第二可爱的我。,世界第一『可爱』的是雨宫同学，第二是我。
カミツキレイニー,https://raw.githubusercontent.com/ixinzhi/lightnovel-2024/master/魔女与猎犬 - カミツキレイニー - 20241228.epub,3,b04e9fhte,evqb,2025-06-16,https://www.wenku8.net/book/3221.htm,2025-06-16,魔女与猎犬,
知念实希人,https://raw.githubusercontent.com/ixinzhi/lightnovel-2022/master/玻璃之塔杀人事件 - 知念实希人 - 20220929.epub,1,b00g3efgja,eryo,2025-06-16,https://www.wenku8.net/book/3290.htm,2025-06-16,玻璃塔杀人事件,玻璃之塔杀人事件
,,1,b00g3efhjg,6mw6,2025-06-16,https://www.wenku8.net/book/3967.htm,2025-06-16,十诫,
,,4,b00g3bx26d,dsoa,2025-06-16,https://www.wenku8.net/book/3955.htm,2025-06-16,尸人庄杀人系列,
